Loot,Boss,Raid
Arcane Infused Gem,Razorgore the Untamed,Blackwing Lair
The Black Book,Razorgore the Untamed,Blackwing Lair
Gloves of Rapid Evolution,Razorgore the Untamed,Blackwing Lair
Mantle of the Blackwing Cabal,Razorgore the Untamed,Blackwing Lair
Spineshatter,Razorgore the Untamed,Blackwing Lair
The Untamed Blade,Razorgore the Untamed,Blackwing Lair
Bindings of Transcendence,Razorgore the Untamed,Blackwing Lair
Bloodfang Bracers,Razorgore the Untamed,Blackwing Lair
Dragonstalker's Bracers,Razorgore the Untamed,Blackwing Lair
Bracelets of Wrath,Razorgore the Untamed,Blackwing Lair
Netherwind Bindings,Razorgore the Untamed,Blackwing Lair
Judgement Bindings,Razorgore the Untamed,Blackwing Lair
Nemesis Bracers,Razorgore the Untamed,Blackwing Lair
Stormrage Bracers,Razorgore the Untamed,Blackwing Lair
Bloodfang Belt,Vaelastrasz the Corrupt,Blackwing Lair
Stormrage Belt,Vaelastrasz the Corrupt,Blackwing Lair
Waistband of Wrath,Vaelastrasz the Corrupt,Blackwing Lair
Nemesis Belt,Vaelastrasz the Corrupt,Blackwing Lair
Netherwind Belt,Vaelastrasz the Corrupt,Blackwing Lair
Pendant of the Fallen Dragon,Vaelastrasz the Corrupt,Blackwing Lair
Mind Quickening Gem,Vaelastrasz the Corrupt,Blackwing Lair
Belt of Transcendence,Vaelastrasz the Corrupt,Blackwing Lair
Dragonstalker's Belt,Vaelastrasz the Corrupt,Blackwing Lair
Helm of Endless Rage,Vaelastrasz the Corrupt,Blackwing Lair
Rune of Metamorphosis,Vaelastrasz the Corrupt,Blackwing Lair
Dragonfang Blade,Vaelastrasz the Corrupt,Blackwing Lair
Judgement Belt,Vaelastrasz the Corrupt,Blackwing Lair
Red Dragonscale Protector,Vaelastrasz the Corrupt,Blackwing Lair
Head of the Broodlord Lashlayer,Broodlord Lashlayer,Blackwing Lair
Black Brood Pauldrons,Broodlord Lashlayer,Blackwing Lair
Netherwind Boots,Broodlord Lashlayer,Blackwing Lair
Sabatons of Wrath,Broodlord Lashlayer,Blackwing Lair
Boots of Transcendence,Broodlord Lashlayer,Blackwing Lair
Dragonstalker's Greaves,Broodlord Lashlayer,Blackwing Lair
Nemesis Boots,Broodlord Lashlayer,Blackwing Lair
Venomous Totem,Broodlord Lashlayer,Blackwing Lair
Bloodfang Boots,Broodlord Lashlayer,Blackwing Lair
Judgement Sabatons,Broodlord Lashlayer,Blackwing Lair
Lifegiving Gem,Broodlord Lashlayer,Blackwing Lair
Stormrage Boots,Broodlord Lashlayer,Blackwing Lair
Bracers of Arcane Accuracy,Broodlord Lashlayer,Blackwing Lair
Heartstriker,Broodlord Lashlayer,Blackwing Lair
"Maladath, Runed Blade of the Black Flight",Broodlord Lashlayer,Blackwing Lair
Black Ash Robe,Firemaw,Blackwing Lair
Claw of the Black Drake,Firemaw,Blackwing Lair
Cloak of Firemaw,Firemaw,Blackwing Lair
Firemaw's Clutch,Firemaw,Blackwing Lair
Legguards of the Fallen Crusader,Firemaw,Blackwing Lair
Primalist's Linked Legguards,Firemaw,Blackwing Lair
Scrolls of Blinding Light,Firemaw,Blackwing Lair
Aegis of Preservation,Ebonroc,Blackwing Lair
Band of Forced Concentration,Ebonroc,Blackwing Lair
Dragonbreath Hand Cannon,Ebonroc,Blackwing Lair
Drake Fang Talisman,Ebonroc,Blackwing Lair
Ebony Flame Gloves,Ebonroc,Blackwing Lair
Malfurion's Blessed Bulwark,Ebonroc,Blackwing Lair
Circle of Applied Force,Flamegor,Blackwing Lair
Dragon's Touch,Flamegor,Blackwing Lair
Emberweave Leggings,Flamegor,Blackwing Lair
Herald of Woe,Flamegor,Blackwing Lair
Shroud of Pure Thought,Flamegor,Blackwing Lair
Styleen's Impeding Scarab,Flamegor,Blackwing Lair
Drake Talon Cleaver,Loot Drakes,Blackwing Lair
Drake Talon Pauldrons,Loot Drakes,Blackwing Lair
Rejuvenating Gem,Loot Drakes,Blackwing Lair
Ring of Blackrock,Loot Drakes,Blackwing Lair
Taut Dragonhide Belt,Loot Drakes,Blackwing Lair
Shadow Wing Focus Staff,Loot Drakes,Blackwing Lair
Handguards of Transcendence,Loot Drakes,Blackwing Lair
Gauntlets of Wrath,Loot Drakes,Blackwing Lair
Dragonstalker's Gauntlets,Loot Drakes,Blackwing Lair
Nemesis Gloves,Loot Drakes,Blackwing Lair
Netherwind Gloves,Loot Drakes,Blackwing Lair
Bloodfang Gloves,Loot Drakes,Blackwing Lair
Stormrage Handguards,Loot Drakes,Blackwing Lair
Judgement Gauntlets,Loot Drakes,Blackwing Lair
Doom's Edge,Trash,Blackwing Lair
Essence Gatherer,Trash,Blackwing Lair
Band of Dark Dominion,Trash,Blackwing Lair
Dragonic Avenger,Trash,Blackwing Lair
Interlaced Shadow Jerkin,Trash,Blackwing Lair
Ringo's Blizzard Boots,Trash,Blackwing Lair
Angelista's Grasp,Chromaggus,Blackwing Lair
"Ashjre'thul, Crossbow of Smiting",Chromaggus,Blackwing Lair
Chromatic Boots,Chromaggus,Blackwing Lair
Chromatically Tempered Sword,Chromaggus,Blackwing Lair
Claw of Chromaggus,Chromaggus,Blackwing Lair
Elementium Reinforced Bulwark,Chromaggus,Blackwing Lair
Elementium Threaded Cloak,Chromaggus,Blackwing Lair
Empowered Leggings,Chromaggus,Blackwing Lair
Girdle of the Fallen Crusader,Chromaggus,Blackwing Lair
Primalist's Linked Waistguard,Chromaggus,Blackwing Lair
Shimmering Geta,Chromaggus,Blackwing Lair
Taut Dragonhide Gloves,Chromaggus,Blackwing Lair
