Loot,Boss,Raid
Head of Onyxia,Onyxia,Onyxia's Lair
Ancient Cornerstone Grimoire,Onyxia,Onyxia's Lair
Ring of Binding,Onyxia,Onyxia's Lair
Sapphiron Drape,Onyxia,Onyxia's Lair
Nemesis Skullcap,Onyxia,Onyxia's Lair
Netherwind Crown,Onyxia,Onyxia's Lair
Stormrage Cover,Onyxia,Onyxia's Lair
Bloodfang Hood,Onyxia,Onyxia's Lair
Dragonstalker's Helm,Onyxia,Onyxia's Lair
Eskhander's Collar,Onyxia,Onyxia's Lair
Helm of Wrath,Onyxia,Onyxia's Lair
Halo of Transcendence,Onyxia,Onyxia's Lair
Judgement Crown,Onyxia,Onyxia's Lair
Deathbringer,Onyxia,Onyxia's Lair
Shard of the Scale,Onyxia,Onyxia's Lair
Vis'kag the Bloodletter,Onyxia,Onyxia's Lair
